"","afe","aafe","slope"
"Simulation All In Silico with logD (RH)",2.48485170002317,3.50885295648875,0.394127565699967
"Simulation All In Silico with logP (RH)",2.48485170002317,3.50885295648875,0.394127565699967
"Simulation All In Silico with logD (RLM)",2.94043473194841,3.93959156242041,0.390262008072128
"Simulation All In Silico with logP (RLM)",2.94043473194841,3.93959156242041,0.390262008072128
"BtP_logD_RH",2.51380352839581,3.5235230717082,0.395224160494572
"BtP_logD_RLM",2.96978018371495,3.95037303196004,0.391027413803315
"BtP_RH",2.51377175526519,3.52347826257885,0.395223801215225
"BtP_RLM",2.96970956224845,3.9502762733529,0.391028517086839
"fup_BtP_logD_RH",4.76041530560609,5.98654336246129,0.548138265490724
"fup_BtP_logD_RLM",5.7783368694068,7.08198070030569,0.54922566007888
"fup_BtP_RH",4.76034956572968,5.98646209182594,0.548137951031622
"fup_BtP_RLM",5.77818191817412,7.08178526610644,0.549225380026741
"fup_logD_RH",4.72768217228319,5.97966056179644,0.548806786392054
"fup_logD_RLM",5.74073427063831,7.08030069706933,0.549729278290223
"fup_RH",4.7276166712249,5.97958021282062,0.548806383294848
"fup_RLM",5.74057812625094,7.08010430305954,0.549729852686832
"logD_RH",2.48488289070648,3.50889770978361,0.394128014502003
"logD_RLM",2.94050503744304,3.93968751817291,0.390261021571189
